asset,n_predictions,accuracy,avg_confidence,avg_pred_return,avg_true_return,beat_random
SNAP,1,1.0,0.466,-2.0191,1.7094,True
MRNA,1,1.0,0.6002,-1.0228,-3.4714,True
USDT-USD,67,0.9104,0.7033,1.1366,0.0121,True
GME,6,0.8333,0.5892,-0.8029,-1.5872,True
IWM,13,0.6923,0.6221,-1.0246,0.6667,True
NET,3,0.6667,0.4882,-1.3331,-4.4753,True
XOM,10,0.6,0.5122,1.0781,0.9233,True
SI=F,22,0.5455,0.687,-1.4464,-0.9503,True
LCID,11,0.5455,0.6611,-1.968,-3.061,True
SOL-USD,172,0.5116,0.6353,-0.5506,-0.565,True
RIVN,8,0.5,0.587,-1.3896,5.479,True
GE,2,0.5,0.6063,-0.3386,-4.6552,True
UBER,12,0.5,0.503,-0.0877,-0.7208,True
SOFI,8,0.5,0.6367,-1.9132,-1.6657,True
XRP-USD,69,0.4928,0.5779,1.0748,-2.6405,True
QQQ,447,0.4787,0.6967,-0.192,0.1831,True
NIO,37,0.4595,0.7144,-1.5569,-0.8218,True
GC=F,495,0.4505,0.6828,-0.333,0.4343,True
COIN,20,0.45,0.6191,-1.4977,1.1558,True
SPY,368,0.4402,0.7081,-0.0111,0.2713,True
SCHW,7,0.4286,0.5306,1.1655,0.3682,True
V,14,0.4286,0.5205,0.1602,0.6911,True
BABA,7,0.4286,0.7105,-2.4504,-0.0466,True
TSLA,443,0.4108,0.6741,-1.0945,0.3808,True
GOOGL,441,0.4082,0.6245,-0.8887,0.7387,True
AMD,399,0.406,0.6934,-1.5532,0.8763,True
META,426,0.3897,0.6137,-0.3274,0.1346,True
CVX,13,0.3846,0.5571,-0.7802,1.4705,True
BTC-USD,801,0.3845,0.6131,0.2997,-0.6536,True
CL=F,399,0.3709,0.5307,-0.5713,-0.0121,True
BAC,155,0.3677,0.5436,0.0682,-0.0527,True
INTC,71,0.3662,0.6786,-2.1144,1.0317,True
NFLX,17,0.3529,0.4681,-0.0939,2.0493,True
HG=F,17,0.3529,0.5735,-0.9314,0.8019,True
HOOD,12,0.3333,0.7008,-2.8904,0.0752,True
BA,15,0.3333,0.5609,-1.0193,-0.7059,True
ABBV,6,0.3333,0.4368,0.4641,2.1656,True
GS,24,0.3333,0.5962,-0.8496,0.4304,True
ETH-USD,524,0.3263,0.7231,-1.5326,-0.2479,False
PLTR,37,0.3243,0.6398,-0.9467,2.7051,False
NG=F,25,0.32,0.6154,-1.1523,-2.7304,False
PFE,10,0.3,0.5904,-0.0013,0.0962,False
NVDA,487,0.2977,0.5543,-0.0434,0.1645,False
LLY,17,0.2941,0.5276,-0.4762,0.9188,False
ZC=F,17,0.2941,0.4837,0.3903,-0.5347,False
MSFT,438,0.2648,0.5635,-0.0816,-0.3246,False
AAPL,425,0.2635,0.6409,0.3589,0.6183,False
AMZN,436,0.2523,0.6156,-0.46,0.2492,False
SHOP,4,0.25,0.6218,-1.927,4.0721,False
DIS,4,0.25,0.5531,0.9342,0.0736,False
JPM,54,0.2407,0.5829,-0.6862,0.8227,False
MS,41,0.2195,0.4928,0.6424,0.1283,False
WFC,16,0.125,0.5415,0.2817,-0.2075,False
KC=F,9,0.1111,0.556,-0.7631,0.8144,False
C,40,0.1,0.5342,-0.2448,0.2957,False
MA,10,0.1,0.5182,0.1077,-0.2185,False
ZS=F,10,0.1,0.558,0.9584,-0.3245,False
BZ=F,1,0.0,0.4044,-0.954,-1.5523,False
JNJ,1,0.0,0.4685,-0.1759,0.8845,False
ZW=F,3,0.0,0.4425,0.334,-1.4104,False
