asset,sentiment,n_events,T1_return_%,T3_return_%,T5_return_%,T10_return_%,halflife_days,pct_impact_day1
BA,Negative,18,-1.2989,-1.1474,-1.3179,-1.6486,1,78.8
BA,Positive,23,-0.1653,-1.4789,0.9245,-0.1416,1,116.8
AMZN,Negative,445,0.2324,0.4453,0.5773,0.2072,1,112.2
AMZN,Positive,313,0.0897,0.1918,0.8011,0.0911,1,98.5
BTC-USD,Negative,585,0.4137,0.0492,-0.2247,-0.2281,1,181.4
BTC-USD,Positive,523,0.2526,0.0516,-0.3584,-0.4797,1,52.7
BAC,Negative,92,-0.018,-0.1597,0.3645,0.029,1,62.3
BABA,Positive,14,2.6596,0.3444,-1.2884,5.1648,1,51.5
HG=F,Positive,19,0.1779,0.3951,0.8745,0.2806,1,63.4
HG=F,Negative,5,-0.4692,0.0447,,0.185,1,253.7
ETH-USD,Negative,470,0.5458,0.4509,0.2739,0.8387,1,65.1
COIN,Positive,14,-1.9703,1.8333,-2.4861,-1.5298,1,128.8
JPM,Positive,34,-0.1235,-0.5287,-3.5233,-0.0266,1,463.5
JPM,Negative,30,0.162,0.7321,1.8841,-0.1895,1,85.5
IWM,Negative,10,-0.7513,1.8134,,-0.4131,1,181.9
INTC,Negative,29,0.2279,0.2268,-3.4862,-0.4242,1,53.7
NG=F,Negative,7,4.1343,-2.9196,26.3626,-0.1786,1,2314.6
NG=F,Positive,32,2.6069,-1.6639,,-3.516,1,74.1
LLY,Negative,5,0.416,2.5767,,-0.0285,1,1459.2
META,Positive,330,-0.1115,-0.13,1.3445,-0.1612,1,69.2
NVDA,Positive,402,0.322,0.0896,1.4922,0.1391,1,231.5
PFE,Negative,8,-0.6635,-0.2676,,-0.7987,1,83.1
SOL-USD,Negative,56,0.9245,-0.5454,-1.6519,-0.9228,1,100.2
ZC=F,Positive,11,-0.5288,-0.5491,,-0.3356,1,157.6
XOM,Negative,5,-1.4705,-2.2111,-1.489,-1.6993,1,86.5
XOM,Positive,13,0.8759,1.3295,-1.1112,1.1554,1,75.8
WFC,Positive,14,1.1929,-0.5477,1.1257,1.8642,1,64.0
V,Negative,6,-0.6181,-0.0981,-2.4964,0.6155,1,100.4
V,Positive,15,-0.6634,-0.4005,,-0.5396,1,122.9
SPY,Positive,272,0.0514,0.0734,0.5695,-0.0067,1,771.2
SI=F,Negative,5,-0.8538,0.0401,,1.6256,1,52.5
PLTR,Negative,16,1.2967,2.5673,3.5864,4.361,2,29.7
MA,Positive,11,-0.3145,-1.5571,,-1.4626,2,21.5
MS,Positive,36,0.1,1.0324,,0.216,2,46.3
GOOGL,Negative,421,-0.1635,-0.2627,-0.8016,0.6188,2,26.4
MSFT,Negative,422,0.0795,0.4713,-0.1702,0.4848,2,16.4
C,Positive,40,0.0488,-0.6076,2.0559,-0.1386,2,35.2
AMD,Positive,297,0.1064,-0.4807,0.4808,-0.2981,2,35.7
UBER,Positive,14,0.0646,1.2266,,-0.3849,2,16.8
INTC,Positive,87,-0.0126,-1.0093,-1.612,0.5183,2,2.4
GS,Positive,21,0.7785,1.2598,-0.6902,1.8714,2,41.6
GS,Negative,12,-0.1428,0.6525,-9.2912,0.9881,2,14.4
GME,Positive,8,-0.1987,-1.8412,4.5908,-3.6904,2,5.4
GOOGL,Positive,329,-0.2003,-0.1043,0.0062,0.5052,2,39.7
NIO,Positive,17,-0.5791,-2.3764,2.1892,-4.433,3,13.1
RIVN,Positive,9,0.3872,3.191,4.4563,3.2077,3,12.1
SCHW,Positive,8,-0.3052,-0.782,,1.0897,3,28.0
NFLX,Negative,7,-0.8053,6.39,,-5.1079,3,15.8
ETH-USD,Positive,379,0.0981,-0.4397,-0.8987,-0.6712,3,14.6
CL=F,Negative,423,-0.3163,-0.4865,-1.4839,-0.9185,3,34.4
ZC=F,Negative,9,0.1457,0.7851,,1.3602,3,10.7
WFC,Negative,5,-0.0124,-0.4562,,0.5513,3,2.2
USDT-USD,Positive,43,0.0037,0.0183,0.0264,0.0155,3,24.1
SI=F,Positive,15,0.6209,1.8837,,3.5113,3,17.7
PLTR,Positive,25,0.7061,3.0112,,4.1911,3,16.8
MS,Negative,14,1.3824,1.9808,-1.7924,3.5388,3,39.1
CVX,Positive,10,0.3926,1.6311,,2.828,3,13.9
PFE,Positive,5,-0.2912,1.3709,,2.7396,3,10.6
AAPL,Negative,427,0.1681,0.4085,-1.7619,0.669,3,25.1
C,Negative,33,0.4252,0.7742,2.3558,1.1149,3,38.1
NVDA,Negative,465,0.4379,0.7053,-0.0234,1.621,4,27.0
NFLX,Positive,16,0.2904,1.0821,0.7708,2.8892,4,10.0
CL=F,Positive,295,-0.0927,-0.2556,-0.4124,-1.2392,4,7.5
COIN,Negative,6,-1.7634,-0.4246,,-4.9106,4,35.9
LLY,Positive,11,-0.0266,-0.5541,-1.2964,-1.3959,4,1.9
IWM,Positive,8,0.0323,0.1689,,2.6958,4,1.2
TSLA,Positive,322,-0.1089,-0.1955,0.4938,1.1661,4,9.3
AAPL,Positive,307,0.0168,0.2393,0.5871,0.6041,4,2.8
TSLA,Negative,456,0.2043,0.326,-1.7354,1.8086,5,11.3
USDT-USD,Negative,11,0.0127,0.004,0.018,0.031,5,41.0
ZS=F,Positive,11,-0.2314,-0.1923,-1.3769,-1.1499,5,20.1
SPY,Negative,392,0.1175,0.2051,-0.6826,0.4474,5,26.3
NIO,Negative,20,0.3803,0.5608,5.9761,-3.5934,5,10.6
QQQ,Negative,461,0.0964,0.1828,-0.9479,0.5172,5,18.6
QQQ,Positive,354,0.0301,-0.0731,0.6544,-0.1741,5,17.3
SOL-USD,Positive,135,0.6385,-0.1298,-0.8373,-2.709,6,23.6
XRP-USD,Positive,46,-0.377,-1.6616,-1.9577,-4.956,6,7.6
BAC,Positive,132,-0.0465,-0.0325,0.0814,-0.2772,6,16.8
META,Negative,419,0.0264,0.4078,-0.2174,1.0105,6,2.6
AMD,Negative,400,0.2716,0.0231,-0.1415,1.0936,6,24.8
GC=F,Positive,381,0.2445,0.2525,-0.3156,1.2386,7,19.7
GC=F,Negative,435,0.1114,0.1744,0.1435,1.3286,7,8.4
MSFT,Positive,341,0.0264,0.029,0.1555,-0.6766,8,3.9
LCID,Positive,9,-1.1433,-2.5856,,-12.0935,8,9.5
DIS,Positive,6,0.1689,-0.0951,,2.6251,9,6.4
